Demand prediction for products. 

https://thecleverprogrammer.com/2021/11/22/product-demand-prediction-with-machine-learning/


Con- not a well defined dataset-
ID,Store ID,Total Price,Base Price,Units Sold
1,8091,99.0375,111.8625,20
2,8091,99.0375,99.0375,28
3,8091,133.95,133.95,19
4,8091,133.95,133.95,44
5,8091,141.075,141.075,52
9,8091,227.2875,227.2875,18
10,8091,327.0375,327.0375,47
13,8091,210.9,210.9,50
14,8091,190.2375,234.4125,82
17,8095,99.0375,99.0375,99
18,8095,97.6125,97.6125,120
19,8095,98.325,98.325,40
22,8095,133.2375,133.2375,68
23,8095,133.95,133.95,87
24,8095,139.65,139.65,186
27,8095,236.55,280.0125,54
28,8095,214.4625,214.4625,74
29,8095,266.475,296.4,102
30,8095,173.85,192.375,214
31,8095,205.9125,205.9125,28
32,8095,205.9125,205.9125,7
33,8095,248.6625,248.6625,48
34,8095,200.925,200.925,78
35,8095,190.2375,240.825,57
37,8095,427.5,448.1625,50
38,8095,429.6375,458.1375,62
39,8095,177.4125,177.4125,22
42,8094,87.6375,87.6375,109
43,8094,88.35,88.35,133
44,8094,85.5,85.5,11
45,8094,128.25,180.975,9
47,8094,127.5375,127.5375,19
48,8094,123.975,123.975,33
49,8094,139.65,164.5875,49
50,8094,235.8375,235.8375,32
51,8094,234.4125,234.4125,47
52,8094,235.125,235.125,27
53,8094,227.2875,227.2875,69
54,8094,312.7875,312.7875,49
